keys,game_titles,count_main,time_main,count_complete,time_complete
111,Heat Signature,13,14h 32m,13,37h 53m
112,Heavy Bullets,13,7h 20m,1,24h
113,Hitman 2,622,10h 20m,71,133h 54m
114,HIVESWAP: ACT 1,68,2h 32m,28,5h 2m
115,Hollow Knight,2.7K,28h 13m,2K,70h 7m
116,Hotline Miami,2.3K,5h 28m,537,15h 53m
117,Hotline Miami 2: Wrong Number,923,8h 50m,119,36h 12m
118,House Flipper,138,13h 27m,109,57h 51m
119,Initial Drift Online,n/a,n/a,n/a,n/a
120,Into the Breach,429,6h 10m,117,55h 46m
121,"Invisible, Inc.",127,7h 29m,7,84h 45m
122,Jet Set Radio,234,6h 49m,39,21h 2m
123,Katana ZERO,1.5K,4h 49m,173,15h 45m
124,Killing Floor 2,41,17h 34m,42,159h 34m
125,Kim Jong-Boom,1,24m,4,1h 8m
126,Left 4 Dead,494,6h 54m,46,60h 6m
127,Left 4 Dead 2,600,10h 31m,79,72h 33m
128,Lethal Company,54,10h 17m,16,41h 33m
129,Little Nightmares,2.3K,3h 38m,301,9h 28m
130,Little Nightmares Enhanced Edition,2.3K,3h 38m,301,9h 28m
131,LostWinds,30,2h 21m,67,2h 45m
132,Machinarium,478,5h 13m,452,5h 31m
133,Magicka,252,10h 48m,24,48h 45m
134,Make a Word!,n/a,n/a,5,39m
135,Manual Samuel,200,2h 10m,21,6h 49m
136,March of the Eagles,1,3h 29m,n/a,n/a
137,Mega Man 11,384,4h 56m,24,19h 43m
138,Mega Man Legacy Collection,102,17h 10m,20,38h 15m
139,Mega Man X Legacy Collection 1,45,18h 16m,42,30h 7m
140,Metal Gear Solid V: Ground Zeroes,1.9K,1h 57m,309,21h 52m
141,Metal Gear Solid V: The Phantom Pain,857,46h 23m,505,169h 19m
142,Metro 2033 Redux,2.2K,9h 6m,305,24h 28m
143,Metro: Last Light Redux,1.5K,9h 53m,222,28h 23m
144,Mini Metro,97,6h 8m,41,45h 43m
145,MOLEK-SYNTEZ,11,11h 36m,11,26h 6m
146,Monster Prom,116,1h 7m,11,129h 6m
147,Monster Prom 2: Monster Camp,32,1h 22m,n/a,n/a
148,Mother Russia Bleeds,105,4h 24m,2,13h 12m
149,Mr. Shifty,137,4h 6m,21,9h 3m
150,Mr.Jezko,n/a,n/a,3,1h 4m
151,My Friend Pedro,973,4h 10m,60,10h 10m
152,NieR: Automata,2.2K,21h 33m,1.5K,62h 34m
153,No Lights,n/a,n/a,n/a,n/a
154,Not A Hero,37,5h 9m,32,10h 36m
155,Okhlos: Omega,7,4h 47m,n/a,n/a
156,OlliOlli,64,3h 52m,18,14h 17m
157,OlliOlli2: Welcome to Olliwood,41,3h 27m,8,31h 31m
158,OmniBus,14,3h 29m,1,16h 36m
159,Opus Magnum,75,15h 47m,24,49h 8m
160,Oxygen Not Included,26,109h 37m,3,496h 38m
161,Pac-Man Championship Edition 2,25,4h 47m,9,17h 4m
162,Paper Fire Rookie,n/a,n/a,n/a,n/a
163,Party Hard,160,6h 26m,83,15h 16m
164,Pikuniku,361,3h 13m,102,7h 1m
165,Planet Coaster,34,28h 5m,39,87h 37m
166,Poly Bridge,8,10h 57m,22,37h 36m
167,Portal,8.1K,3h 14m,1.1K,10h 55m
168,Portal 2,5.7K,8h 50m,745,24h 4m
169,Psychonauts,754,12h 1m,422,22h 12m
170,Pyre,303,11h 22m,93,21h 57m
171,Quest of Dungeons,11,2h 29m,2,39h 54m
172,Quiplash,n/a,n/a,n/a,n/a
173,Rebuild 3: Gangs of Deadsville,5,30h 55m,1,41h
174,Regular Human Basketball,n/a,n/a,n/a,n/a
175,Resident Evil: HD Remaster,1.1K,11h 26m,164,33h 15m
176,Resident Evil Zero: HD Remaster,640,10h 30m,64,26h 42m
177,Resident Evil: Revelations,1.3K,8h 29m,61,41h 3m
178,Resident Evil: Revelations 2,602,10h 29m,38,37h 3m
179,Reventure,44,6h 36m,155,12h 43m
180,Rise of Industry,10,20h 3m,4,58h
181,Risk of Rain 2,280,11h 31m,160,159h 47m
