Title,Steam_id,has_achievements,completed_achievements,total_achievements,English_rating,Date_published,Total_number_of_reviews,Publisher,keys,count_main,time_main,count_complete,time_complete,Genres
alien swarm reactive drop,563560,Y,21,198,Very Positive,2017-04-20,23662,Reactive Drop Team,,,,,,"['Twin Stick Shooter', 'PvE', 'Co-op', 'Top-Down Shooter', 'Class-Based', 'Third-Person Shooter', 'Aliens', 'Level Editor', 'Hacking', 'PvP', 'Third Person', 'Shooter', 'Moddable', 'Top-Down', 'First-Person', 'Sci-fi', 'Combat', 'Tactical', 'LGBTQ+', 'Free to Play']"
among us,945360,Y,11,33,Very Positive,2018-11-16,649995,Innersloth,13.0,,,,,"['Multiplayer', 'Social Deduction', 'Online Co-Op', 'Space', 'Survival', '2D', 'Funny', 'Party Game', 'Psychological', 'Co-op', 'Cartoony', 'Local Multiplayer', 'Casual', 'PvP', 'Action', 'Minigames', 'Sci-fi', 'Aliens', 'Colorful', 'Top-Down']"
ape out,447150,Y,0,23,Very Positive,2019-02-28,3680,Devolver Digital,15.0,552,138,16,755,"['Violent', 'Gore', 'Indie', 'Top-Down', 'Action', 'Fast-Paced', 'Singleplayer', 'Stylized', 'Difficult', ""Beat 'em up"", 'Music', '2D', 'Arcade', 'Top-Down Shooter', 'Music-Based Procedural Generation', 'Atmospheric', 'Casual', 'Soundtrack', 'Surreal', 'Great Soundtrack']"
ark survival evolved,346110,Y,0,32,Very Positive,2017-08-27,581974,Studio Wildcard,16.0,52,4622,28,69246,"['Open World Survival Craft', 'Survival', 'Multiplayer', 'Open World', 'Dinosaurs', 'Crafting', 'Building', 'Adventure', 'Base Building', 'Co-op', 'Action', 'Sandbox', 'First-Person', 'Massively Multiplayer', 'Singleplayer', 'Early Access', 'Dragons', 'RPG', 'Sci-fi', 'Indie']"
ark survival of the fittest,407530,N,,,Mostly Positive,2017-08-29,4618,Studio Wildcard,17.0,,,,,"['Free to Play', 'Survival', 'Dinosaurs', 'Multiplayer', 'Open World', 'Action', 'Adventure', 'Massively Multiplayer', 'PvP', 'Dragons', 'Crafting', 'Early Access', 'RPG', 'First-Person', 'Singleplayer', 'Strategy', 'Exploration', 'Sandbox', 'FPS', 'Indie']"
assassin's creed iv black flag,242050,Y,0,60,Very Positive,,71704,Ubisoft,18.0,1300,1430,948,3832,"['Pirates', 'Open World', 'Assassins', 'Adventure', 'Action', 'Stealth', 'Parkour', 'Third Person', 'Naval', 'Multiplayer', 'Historical', 'Story Rich', 'Singleplayer', 'Exploration', 'Naval Combat', 'Action-Adventure', 'Atmospheric', 'RPG', 'Action RPG', 'Co-op']"
assault android cactus,250110,Y,0,29,Very Positive,2015-09-23,1319,Witch Beam,19.0,90,213,7,1790,"['Bullet Hell', 'Twin Stick Shooter', ""Shoot 'Em Up"", 'Difficult', 'Shooter', 'Female Protagonist', 'Arcade', 'Cute', 'Top-Down', '3D', 'Controller', 'Action', 'Sci-fi', 'Robots', '4 Player Local', 'Co-op', 'Local Co-Op', 'Local Multiplayer', 'Fast-Paced', 'Multiplayer']"
autonauts,979120,Y,1,26,Very Positive,2019-10-17,3578,Curve Games,20.0,7,6002,8,10463,"['Automation', 'Programming', 'Simulation', 'Indie', 'Casual', 'Base Building', 'Colony Sim', 'Crafting', 'Cute', 'Sandbox', 'Resource Management', 'Building', 'Farming Sim', 'Management', 'Agriculture', 'Relaxing', 'Strategy', 'Robots', 'Singleplayer', 'City Builder']"
banana hell mountain of madness,2068520,N,,,Positive,2024-05-02,20,Petriheart,,,,,,"['Precision Platformer', 'Funny', 'Platformer', '2D Platformer', 'Casual', '2D', 'Strategy', 'Surreal', 'Side Scroller', 'Colorful', 'Hand-drawn', 'Stylized', 'Atmospheric', 'Emotional', 'Dystopian', 'Dark Fantasy', 'Lovecraftian', 'Psychedelic', 'Psychological', 'Dark']"
the bard's tale iv director's cut,1091980,Y,0,59,Mostly Positive,2019-08-27,690,inXile Entertainment,209.0,6,2618,12,4745,"['RPG', 'Turn-Based', 'Dungeon Crawler', 'Party-Based RPG', 'First-Person', 'Puzzle', 'Fantasy', 'CRPG', 'Singleplayer', 'Turn-Based Combat', 'Character Customization', 'Adventure']"
the bard's tale trilogy,843260,Y,0,47,Overwhelmingly Positive,2018-08-14,1207,inXile Entertainment,210.0,3,1733,7,6139,"['RPG', 'Dungeon Crawler', 'Classic', 'Grid-Based Movement', 'Fantasy', 'First-Person', 'Old School', 'Singleplayer', 'Party-Based RPG', 'Remake', 'Retro', 'Turn-Based', 'CRPG', '2D', 'Turn-Based Combat']"
batman arkham origins,209000,Y,0,60,Very Positive,2013-10-24,44821,Warner Bros. Interactive Entertainment,21.0,1300,769,221,2601,"['Action', 'Open World', 'Superhero', 'Adventure', 'Stealth', 'Third Person', 'Singleplayer', 'Multiplayer', 'Fighting', ""Beat 'em up"", 'Comic Book', 'Detective', 'Story Rich', 'Atmospheric', 'Action-Adventure', 'Controller', 'Sandbox', 'Third-Person Shooter', 'RPG', 'Co-op']"
battle of frigates,711320,Y,0,51,Mixed,2017-09-21,58,Conglomerate 5,,,,,,"['Casual', 'Indie', 'Action', 'Adventure', 'Simulation', 'Pirates', '2D', 'Old School', 'Retro', 'Top-Down Shooter', 'Top-Down', 'Shooter']"
battlefield v,1238810,Y,0,21,Mostly Positive,2018-11-09,234797,Electronic Arts,22.0,583,390,40,2362,"['FPS', 'Multiplayer', 'Singleplayer', 'World War II', 'Shooter', 'War', 'Military', 'First-Person', 'Massively Multiplayer', 'PvP', 'Combat', 'Open World', 'Historical', 'Action', 'Destruction', 'Battle Royale', 'Atmospheric', 'Violent', 'Sexual Content', 'Female Protagonist']"
besiege,346010,Y,2,54,Very Positive,2020-02-18,47742,Spiderling Studios,23.0,45,369,14,1249,"['Simulation', 'Sandbox', 'Physics', 'Destruction', 'Medieval', 'Building', 'Moddable', 'Multiplayer', 'PvE', 'PvP', 'Puzzle', 'Replay Value', 'Vehicular Combat', 'Level Editor', 'Flight', 'Naval Combat', '3D', 'Dark Humor', 'Strategy', 'Wargame']"
bioshock,7670,N,,,Very Positive,2007-08-21,25029,2K,24.0,3700,733,805,1456,"['FPS', 'Atmospheric', 'Story Rich', 'Action', 'Singleplayer', 'Horror', 'Steampunk', 'First-Person', 'Shooter', 'Sci-fi', 'Classic', 'RPG', 'Dystopian', 'Adventure', 'Underwater', 'Immersive', 'Dark', 'Political', 'Great Soundtrack', 'Alternate History']"
bioshock remastered,409710,Y,0,65,Very Positive,2016-09-15,51664,2K,28.0,3700,733,805,1456,"['FPS', 'Story Rich', 'Atmospheric', 'Horror', 'Singleplayer', 'First-Person', 'Action', 'Dystopian', 'Shooter', 'Underwater', 'Sci-fi', 'Steampunk', 'Dark', 'Classic', 'Adventure', 'Great Soundtrack', 'Immersive Sim', 'Alternate History', 'RPG', 'Remake']"
bioshock 2,8850,Y,0,68,Very Positive,2010-02-09,11402,2K,25.0,1800,642,361,1526,"['FPS', 'Action', 'Singleplayer', 'Story Rich', 'Atmospheric', 'Horror', 'First-Person', 'Shooter', 'Steampunk', 'Sci-fi', 'Underwater', 'Dystopian', 'Multiplayer', 'Adventure', 'Immersive', 'RPG', 'Dark', 'Great Soundtrack', 'Philosophical', 'Action RPG']"
bioshock 2 remastered,409720,Y,0,53,Mostly Positive,2016-09-15,23838,2K,26.0,1800,642,361,1526,"['FPS', 'Action', 'Singleplayer', 'Story Rich', 'Atmospheric', 'Horror', 'First-Person', 'Shooter', 'Dystopian', 'Sci-fi', 'RPG', 'Steampunk', 'Underwater', 'Adventure', 'Dark', 'Great Soundtrack', 'Alternate History', 'Immersive Sim', 'Remake', 'Multiplayer']"
bioshock infinite,8870,Y,0,80,Very Positive,2013-03-25,109102,2K,27.0,4400,704,498,1868,"['Action', 'First-Person', 'Shooter', 'FPS', 'Singleplayer', 'Story Rich', 'RPG', 'Adventure', 'Fantasy', 'Sci-fi', 'Atmospheric', 'Gore', 'Alternate History', 'Dystopian', 'Steampunk', 'Immersive', 'Time Travel', 'Linear', 'Combat', 'Dark']"
black desert,582660,N,,,Mostly Positive,2017-05-24,62477,Pearl Abyss,29.0,18,5533,9,138517,"['Sandbox', 'Action RPG', 'Exploration', 'MMORPG', 'War', 'Medieval', 'Crafting', 'PvP', 'First-Person', 'Action-Adventure', 'Open World', 'Character Customization', 'RPG', 'Strategy', '3D', 'Cooking', 'Fantasy', 'Action', 'Magic', 'Cinematic']"
bloons td 6,960090,Y,46,156,Overwhelmingly Positive,2018-12-17,345728,Ninja Kiwi,30.0,56,2270,23,35862,"['Tower Defense', 'Strategy', 'Multiplayer', 'Singleplayer', 'Online Co-Op', 'Co-op', 'Family Friendly', 'Casual', '3D', 'Cartoony', 'Sandbox', '2D', 'Great Soundtrack', 'Difficult', 'Touch-Friendly', 'Cute', 'Funny', 'Addictive', 'Survival', 'Action']"
bloons td battles 2,1276390,N,,,Very Positive,2021-11-30,33949,Ninja Kiwi,,,,,,"['Free to Play', 'Tower Defense', 'Multiplayer', 'Competitive', 'Strategy', 'PvP', 'Indie', 'Action', 'Family Friendly', 'Colorful', 'Real Time Tactics', 'Cartoony', 'Tactical', 'Sandbox', '3D', 'Casual', 'Top-Down', 'Character Customization', 'Funny', 'Difficult']"
borderlands 2,49520,Y,8,75,Very Positive,2012-09-20,209910,2K,31.0,1200,1811,457,8388,"['Loot', 'Shooter', 'Action', 'Multiplayer', 'Co-op', 'Looter Shooter', 'FPS', 'RPG', 'First-Person', 'Funny', 'Comedy', 'Open World', 'Combat', 'Online Co-Op', 'Adventure', 'Action RPG', 'Dark Humor', 'Singleplayer', 'Memes', 'Sci-fi']"
broken age,232790,Y,0,45,Very Positive,2014-01-28,4598,Double Fine Productions,,,,,,"['Point & Click', 'Adventure', 'Story Rich', 'Comedy', 'Indie', 'Funny', 'Singleplayer', 'Great Soundtrack', 'Puzzle', 'Casual', 'Female Protagonist', '2D', 'Classic', 'Retro', 'Sci-fi', 'Episodic', 'Short', 'Escape Room', 'Hand-drawn', 'Touch-Friendly']"
brothers a tale of two sons,225080,Y,0,12,Very Positive,2013-09-03,33738,505 Games,33.0,2300,189,1400,245,"['Adventure', 'Atmospheric', 'Story Rich', 'Controller', 'Indie', 'Emotional', 'Puzzle', 'Short', 'Fantasy', 'Singleplayer', 'Beautiful', 'Great Soundtrack', 'Local Co-Op', 'Multiplayer', 'Action', 'Platformer', 'Third Person', 'Casual', 'Walking Simulator', 'Colorful']"
capitalism 2,638200,N,,,Very Positive,2001-12-17,442,Enlight Software Limited,34.0,1,3200,,,"['Economy', 'Simulation', 'Capitalism', 'Management', 'Strategy', 'Indie', 'Villain Protagonist', 'RTS', 'Classic']"
celeste,504230,Y,0,32,Overwhelmingly Positive,2018-01-25,128887,Maddy Makes Games Inc.,35.0,3500,517,913,2425,"['Precision Platformer', 'Difficult', 'Great Soundtrack', 'Pixel Graphics', 'Indie', 'Platformer', '2D Platformer', 'Female Protagonist', 'Singleplayer', '2D', 'Story Rich', 'Adventure', 'Cute', 'Puzzle Platformer', 'LGBTQ+', 'Atmospheric', 'Action', 'Side Scroller', 'Retro', 'Exploration']"
company of heroes 2,231430,Y,0,452,Very Positive,2013-06-25,68609,Relic Entertainment,36.0,105,967,8,3781,"['Strategy', 'World War II', 'RTS', 'Multiplayer', 'Tactical', 'War', 'Historical', 'Military', 'Singleplayer', 'Co-op', 'Online Co-Op', 'Base Building', 'Tanks', 'Real-Time', 'Action', 'Real-Time with Pause', 'Atmospheric', 'Simulation', 'Great Soundtrack', 'Adventure']"
content warning,2881650,Y,0,48,Very Positive,2024-04-01,70356,Evil Landfall?,37.0,,,,,"['Horror', 'Online Co-Op', 'Procedural Generation', 'Exploration', 'Action Roguelike', 'Multiplayer', 'Comedy', 'Physics', 'Co-op', 'Funny', 'First-Person', 'Psychological Horror', 'Survival Horror', 'Atmospheric', 'Post-apocalyptic', 'Adventure', '3D', 'Time Management', 'Investigation', 'Mystery']"
crawl,293780,Y,0,45,Overwhelmingly Positive,2017-04-11,5596,Powerhoof,38.0,29,85,,,"['Pixel Graphics', 'Dungeon Crawler', 'Local Multiplayer', '4 Player Local', 'Action Roguelike', 'Indie', 'Local Co-Op', 'Action', 'Multiplayer', 'Roguelike', 'RPG', 'Lovecraftian', '2D', 'Great Soundtrack', 'Co-op', 'Fantasy', 'Gore', 'Singleplayer', 'Horror', 'Arcade']"
crusader kings ii,203770,Y,1,161,Very Positive,2012-02-14,73762,Paradox Interactive,,,,,,"['Grand Strategy', 'Strategy', 'Medieval', 'Historical', 'Political Sim', 'Simulation', 'RPG', 'Sandbox', 'Multiplayer', 'Politics', 'Diplomacy', 'Singleplayer', 'Replay Value', 'Real-Time with Pause', 'Moddable', 'Free to Play', 'Political', 'Character Customization', 'RTS', 'Great Soundtrack']"
crusader kings iii,1158310,Y,0,188,Very Positive,2020-09-01,92964,Paradox Interactive,39.0,53,4507,9,46384,"['Strategy', 'Medieval', 'Grand Strategy', 'Simulation', 'RPG', 'Historical', 'Management', 'Character Customization', 'Life Sim', 'Sandbox', 'Choices Matter', 'RTS', 'War', 'Singleplayer', 'Economy', 'Political', 'Multiplayer', 'Moddable', '4X', 'Real-Time with Pause']"
crypt of the necrodancer,247080,Y,0,61,Overwhelmingly Positive,2015-04-23,23487,Brace Yourself Games,40.0,147,851,5,30462,"['Rhythm', 'Roguelike', 'Great Soundtrack', 'Pixel Graphics', 'Dungeon Crawler', 'Indie', 'Difficult', 'Female Protagonist', 'Music', 'Local Co-Op', 'RPG', '2D', 'Action', 'Roguelite', 'Procedural Generation', 'Singleplayer', 'Fantasy', 'Co-op', 'Adventure', 'Retro']"
cuphead,268910,Y,0,42,Overwhelmingly Positive,2017-09-29,194013,Studio MDHR Entertainment Inc.,41.0,1100,656,594,1848,"['Difficult', 'Cartoon', 'Co-op', 'Platformer', 'Local Co-Op', 'Great Soundtrack', 'Multiplayer', '2D', 'Indie', 'Hand-drawn', 'Cartoony', 'Bullet Hell', 'Retro', 'Action', ""Shoot 'Em Up"", 'Singleplayer', 'Side Scroller', 'Souls-like', 'Colorful', 'Funny']"
danganronpa 2 goodbye despair,413420,Y,15,47,Overwhelmingly Positive,2016-04-18,30216,"Spike Chunsoft Co., Ltd.",42.0,967,2055,216,3715,"['Anime', 'Detective', 'Visual Novel', 'Mystery', 'Story Rich', 'Great Soundtrack', 'Singleplayer', 'Psychological Horror', 'Adventure', 'Dark Comedy', 'Puzzle', 'Horror', 'Atmospheric', 'Dark', 'Comedy', 'Dating Sim', 'Funny', 'Memes', 'Walking Simulator', 'Sexual Content']"
danganronpa v3 killing harmony,567640,Y,19,41,Very Positive,2017-09-25,21485,"Spike Chunsoft Co., Ltd.",43.0,663,2383,78,6190,"['Visual Novel', 'Detective', 'Female Protagonist', 'Anime', 'Story Rich', 'Mystery', 'Great Soundtrack', 'Singleplayer', 'Psychological Horror', 'Dark Humor', 'Horror', 'Puzzle', 'Adventure', 'Dark Comedy', 'Dark', 'Atmospheric', 'Funny', 'Dating Sim', 'Memes', 'Comedy']"
danganronpa trigger happy havoc,413410,Y,12,38,Overwhelmingly Positive,2016-02-18,35326,"Spike Chunsoft Co., Ltd.",44.0,1500,1526,386,2803,"['Visual Novel', 'Anime', 'Detective', 'Mystery', 'Story Rich', 'Great Soundtrack', 'Singleplayer', 'Psychological Horror', 'Horror', 'Adventure', 'Dark Comedy', 'Dark Humor', 'Puzzle', 'Point & Click', 'Funny', 'Exploration', 'Comedy', 'Survival', 'Action', 'Memes']"
dark souls ii scholar of the first sin,335300,Y,18,38,Very Positive,2015-04-01,82807,Bandai Namco Entertainment,45.0,999,2163,685,6500,"['Souls-like', 'Dark Fantasy', 'RPG', 'Difficult', 'Action', 'Third Person', 'Atmospheric', 'Action RPG', 'Character Customization', 'Co-op', 'Multiplayer', 'Fantasy', 'Adventure', 'Medieval', 'Dark', 'Singleplayer', 'Lore-Rich', 'Story Rich', 'PvP', 'Remake']"
